0.26326,0.46244,0.52829,-2.842,0.00013058
0.26879,0.45747,0.53113,-5.4791,0.00025188
0.26604,0.45736,0.55051,-7.8369,0.1221
0.27053,0.48905,0.54321,-1.6453,0.22354
0.294,0.4857,0.56094,9.8394,10.174
6.664,8.2926,9.8423,-2.9218,0.0033212
7.0714,7.4254,9.6355,-5.1135,0.09865
8.0978,7.3541,10.878,-5.2008,0.45461
8.3688,7.656,10.424,-0.68453,2.0249
10.713,8.0643,10.602,1.628,1.8158
104.47,173.65,217.6,-2.7991,0.041746
124.49,168.52,220.13,-4.0051,0.3206
129.22,180.31,222.99,-2.5078,1.0649
157.52,186.8,241.1,0.54706,2.4538
186.58,216.17,263.56,4.4901,4.6734
1604.6,8092,11135,-2.493,0.062863
1849,8250.5,11438,-3.3368,0.59138
2100.4,9079.3,11819,-0.83373,2.0992
2765.4,9940.8,12410,1.971,3.5393
3141,10119,11534,4.8238,4.9748
